iso3,date,renewables_share,co2_capita,greenhousegas_capita,inflation,gdp,hospital_beds_1000,physicians_1000,maternal_death_risk,suicides_100k,health_expenditure_share,poverty,infant_mortality_1000,life_expectancy,fertility,population,female_population
ABW,1999,0.0,,,2.19006039474596,2489269129.82878,,,,,,,,73.738,1.903,89009.0,45858.0
AFG,1999,73.7226277372263,0.0401569651487615,15670.0000762939,,,,,,,,,93.0,55.376,7.561,20170847.0,9784258.0
AGO,1999,66.9662921348315,1.1098596566393,58639.9993896484,557.501113091215,50891312281.9503,,,,,,,124.3,46.093,6.683,15866871.0,7969817.0
ALB,1999,97.3291582243507,0.955359308384195,7820.00017166138,2.10284998886902,10792624922.3438,3.0299999714,,,,,,25.3,73.587,2.246,3108778.0,1543050.0
AND,1999,100.0,7.92319164802386,569.999992847443,2.73197952535102,,3.2000000477,,,,,,7.7,,,64368.0,
ARE,1999,0.0,28.8871079817493,108830.001831055,8.44337745491752,271631571824.845,,,,,,,9.9,74.106,2.768,2966029.0,971239.0
ARG,1999,27.2944188300794,3.68851827413871,288709.991455078,-1.83655839220664,421755390917.54,,,,,,4.2,18.2,73.396,2.577,36467218.0,18763440.0
ARM,1999,20.9900297358755,1.00679179804598,5619.99988555908,0.0538040809325366,7526162157.25132,6.1999998093,0.6928,,,,11.9,28.2,70.944,1.685,3089020.0,1638218.0
ASM,1999,0.0,,,,,,0.781,,,,,,,,57049.0,
ATG,1999,0.0,4.41920882770442,579.999983310699,1.50421516578423,1177374335.44101,,0.1606,,,,,12.8,73.705,2.203,74674.0,39545.0
AUS,1999,8.54405358817839,17.6323576032971,572760.009765625,0.487575649141377,478757083927.676,7.9000000954,,,,,,5.2,78.9317073170732,1.755,18926000.0,9489571.0
AUT,1999,70.6789505307431,7.88881932213959,78470.0012207031,0.256349694475674,220639956878.73,8.8999996185,3.7613,,,,,4.7,77.8756097560976,1.34,7992324.0,4116125.0
AZE,1999,8.2856514084507,3.27205536939025,36009.9983215332,2.16214167529371,23955634496.4708,8.8999996185,3.5367,,,,,64.7,66.491,2.07,7982750.0,4082757.0
BDI,1999,98.0,0.0366994025337267,1929.99994754791,14.9541402608853,3312343716.22962,,,,,,,97.3,48.339,6.976,6267132.0,3193517.0
BEL,1999,1.01960031667586,11.295253988713,138139.999389648,0.598897782801686,260168701709.78,7.0999999046,2.7929,,,,,5.0,77.619512195122,1.62,10226419.0,5219839.0
BEN,1999,2.77777777777778,0.20107735445826,6539.99996185303,48.3425433908146,11148038682.5953,,,,,,,86.8,55.218,6.038,6664102.0,3384292.0
BFA,1999,34.6485134759656,0.078881855896853,15010.0002288818,17.3908245064623,10259110711.9939,,,,,,,92.3,50.168,6.65,11282696.0,5744496.0
BGD,1999,5.76470588235294,0.160636276216274,112940.002441406,3.78103773718786,157681504550.442,0.3000000119,,,,,,66.4,64.881,3.269,125189655.0,60836454.0
BGR,1999,7.24111628396328,5.39788449696393,58330.0018310547,3.31912931185813,47685758137.2379,7.4899997711,,,,,,14.9,71.4121951219512,1.23,8210624.0,4206651.0
BHR,1999,0.0,24.2718446601942,24370.0008392334,2.65643374278032,26004071347.1369,,,,,,,11.3,74.239,2.856,636540.0,272674.0
BHS,1999,0.0,7.8894658627573,2529.99997138977,0.223912944601892,7835934751.55605,,,,,,,13.9,71.858,2.166,294063.0,150496.0
BIH,1999,54.4809927122316,2.81031470983367,14989.9997711182,8.35572908019428,14957037352.8175,3.7999999523,,,,,,9.1,74.05,1.562,3743353.0,1906472.0
BLR,1999,0.071654849901946,5.48034664912956,81519.9966430664,316.793435140463,53512859527.815,12.6400003433,3.2903,,,,19.2,10.7,67.9073170731707,1.31,10026738.0,5319112.0
