KREIS;GEMEINDE;TYP;HERSTELLER;NABENHOEHE;ROTORDURCHMESSER;SCHALLLEISTUNGSPEGEL;LEISTUNG;LEISTUNGSBEZUG;OSTWERT;NORDWERT;GENEHMIGT_AM;INBETRIEBNAHME;STATUS;BST_NR;ANL_NR;AKTENZEICHEN;DATENDATUM;DATENQUELLE
Kiel;Kiel;Nordex N131 - 3,0 MW;Nordex;134;131;;3000;kW Nennleist. Rotor.;571605;6013660;;;im Gen.Verf.;02000000317;0001;G20/2016/085;10.10.2023;LfU SH, Abtl. 7
Kiel;Kiel;Nordex N131 - 3,0 MW;Nordex;134;131;;3000;kW Nennleist. Rotor.;572117;6013490;;;im Gen.Verf.;02000000317;0002;G20/2016/086;10.10.2023;LfU SH, Abtl. 7
Kiel;Kiel;Nordex N131 - 3,0 MW;Nordex;134;131;;3000;kW Nennleist. Rotor.;572497;6013607;;;im Gen.Verf.;02000000317;0003;G20/2016/087;10.10.2023;LfU SH, Abtl. 7
Lübeck;Lübeck;Enercon E 82 E;Enercon;78;82;104,5 dB(A);2300;kW Nennleist. Rotor.;619817;5978875;01.04.2011;25.09.2012;in Betrieb;03000924205;0001;G30/031/2010;10.10.2023;LfU SH, Abtl. 7
Lübeck;Lübeck;Enercon E-82 E;Enercon;85;82;104,5;2300;kW Nennleist. Rotor.;619815;5977994;01.04.2011;25.09.2012;in Betrieb;03000924205;0002;G30/030/2010;10.10.2023;LfU SH, Abtl. 7
Lübeck;Lübeck;Tacke TW 600;Tacke;50;43;98,3;600;kW Nennleist. Rotor.;620847;5977577;16.04.1996;04.10.1996;in Betrieb;03000924233;0001;1964/95;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Albersdorf;WKA Enercon E-160 EP5 E3;Enercon;120;160;"HZ /dB(A) | 63/81,2 | 125/87 | 250/92,2 | 500/96,2 | 1000/97 | 2000/94,9 | 4000/87,4 | 8000/ | SLP=101,8 dB(A); 108,5 dB(A)";5500;kW Nennleist. Rotor.;517045;5997104;20.12.2021;;vor Inbetriebnahme;51001000009;0001;G10/2021/377;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Albersdorf;Vestas V112;Vestas;119;112;106,5 dB(A)/106,5 dB(A);3450;kW Nennleist. Rotor.;516648;5999295;07.10.2013;11.06.2014;in Betrieb;51001900011;0001;G10/2013/012;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Albersdorf;Vestas V112;Vestas;119;112;106,5 dB(A)/106,5 dB(A);3450;kW Nennleist. Rotor.;516599;5998975;07.10.2013;11.06.2014;in Betrieb;51001900011;0002;G10/2013/013;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Albersdorf;Vestas V112 3.3;Vestas;119;112;106,5 dB(A)/106,5 dB(A);3450;kW Nennleist. Rotor.;516709;5998672;07.10.2013;11.06.2014;in Betrieb;51001900011;0003;G10/2013/014;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Albersdorf;Vestas  V112 3.3;Vestas;119;112;106,5 dB(A)/106,5 dB(A);3450;kW Nennleist. Rotor.;516928;5998977;07.10.2013;11.06.2014;in Betrieb;51001900011;0004;G10/2013/015;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Albersdorf;Vestas V112 3.3;Vestas;119;112;106,5 dB(A)/106,5 dB(A);3450;kW Nennleist. Rotor.;517034;5998625;07.10.2013;11.06.2014;in Betrieb;51001900011;0005;G10/2013/016;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Albersdorf;Vestas V112 3.3;Vestas;94;112;106,5 dB(A)/104,8 dB(A);3300;kW Nennleist. Rotor.;516771;5998370;19.06.2014;09.06.2015;in Betrieb;51001900011;0006;G10/2014/016;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Barlt;WKA Repower 3.4M;REpower;98;104;105,6 dB(A)/105,6 dB(A);3400;kW Nennleist. Rotor.;501310;5985045;02.09.2011;15.03.2012;in Betrieb;51006000021;0001;G10/2011/034;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Barlt;WKA Repower 3.4M;REpower;98;104;105,6 dB(A)/105,6 dB(A);3400;kW Nennleist. Rotor.;501312;5984751;02.09.2011;06.04.2012;in Betrieb;51006000022;0001;G10/2011/035;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Barlt;Vestas V117-3.45;Vestas;91,5;117;NUR TAGBETRIEB MIT: HZ /dB(A) | 63/86,2 | 125/95 | 250/99,3 | 500/102,5 | 1000/101,2 | 2000/99,2 | 4000/94,9 | 8000/ | SLP=107,4 dB(A);3450;kW Nennleist. Rotor.;505436;5983461;;;im Gen.Verf.;51006000023;0001;G10/2022/122;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Barlt;WKA Repower 3.4M;REpower;98;104;105,6 dB(A)/105,6 dB(A);3400;kW Nennleist. Rotor.;500871;5984861;02.09.2011;26.03.2012;in Betrieb;51006506684;0001;G10/2011/032;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Barlt;WKA Repower 3.4 M ;REpower;98;104;105,6dB(A)/105,6 dB(A);3400;kW Nennleist. Rotor.;500950;5985172;02.09.2011;24.04.2012;in Betrieb;51006506684;0002;G10/2011/033;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Barlt;Vestas V39;Vestas;40,5;39;103;500;kW Nennleist. Rotor.;501835;5987736;31.12.1899;31.12.1899;in Betrieb;51006506688;0001;nicht bekannt;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Barlt;WKA Enercon E101;Enercon;99;101;106,0 dB(A), 104,4dB(A);3050;kW Nennleist. Rotor.;504637;5984541;15.08.2014;03.08.2015;in Betrieb;51006506692;0001;G10/2013/108;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Barlt;WKA Enercon E101;Enercon;99;101;106,0 dB(A), 106,0 dB(A);3050;kW Nennleist. Rotor.;505285;5984584;15.08.2014;03.09.2015;in Betrieb;51006506692;0002;G10/2013/109;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Barlt;WKA 3 Enercon E101;Enercon;99;101;106dB(A), 106dB(A);3050;kW Nennleist. Rotor.;505006;5984301;15.08.2014;01.10.2015;in Betrieb;51006506692;0003;G10/2013/110;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Barlt;WKA 4 Enercon E101;Enercon;99;101;106,0 dB(A), 106,0 dB(A);3050;kW Nennleist. Rotor.;503858;5983256;15.08.2014;14.09.2015;in Betrieb;51006506692;0004;G10/2013/111;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Barlt;WKA 5 Enercon E101;Enercon;99;101;106,0 dB(A), 104,0 dB(A) ;3050;kW Nennleist. Rotor.;504280;5983200;15.08.2014;14.09.2015;in Betrieb;51006506692;0005;G10/2013/112;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Barlt;WKA 1 REpower 3.2M114;REpower;93;114;105,2 dB(A), 103,7dB(A);3200;kW Nennleist. Rotor.;505189;5983955;06.08.2014;28.04.2015;in Betrieb;51006506693;0001;G10/2013/125;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Barlt;WKA 6 REpower 3.2M 114;REpower;93;114;105,2 dB(A), 105,2dB(A);3200;kW Nennleist. Rotor.;505721;5983498;06.08.2014;23.04.2015;in Betrieb;51006506694;0001;G10/2013/126;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Barlt;WKA REpower 3.2M114;REpower;93;114;105,2 dB(A)/105,2 dB(A);3170;kW Nennleist. Rotor.;500684;5985304;11.02.2015;03.03.2016;in Betrieb;51006506695;0001;G10/2014/128;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Barlt;WKA 6 REpower 3.2M 114;REpower;93;114;105,2 dB(A), 104,3dB(A);3200;kW Nennleist. Rotor.;504599;5984159;06.08.2014;09.06.2015;in Betrieb;51006506696;0001;G10/2013/127;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Barlt;WKA 6 REpower 3.2M 114;REpower;93;114;105,2 dB(A), 104,7dB(A);3200;kW Nennleist. Rotor.;504761;5983821;06.08.2014;23.06.2015;in Betrieb;51006506696;0002;G10/2013/128;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Barlt;WKA 6 REpower 3.2M 114;REpower;93;114;105,2 dB(A), 103,3dB(A);3200;kW Nennleist. Rotor.;504362;5983845;06.08.2014;24.06.2015;in Betrieb;51006506696;0003;G10/2013/129;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Barlt;WKA 6 REpower 3.2M 114;REpower;93;114;105,2 dB(A), 104,2 dB(A);3200;kW Nennleist. Rotor.;504565;5983531;06.08.2014;03.07.2015;in Betrieb;51006506696;0004;G10/2013/130;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Barlt;WKA 6 REpower 3.2M 114;REpower;93;114;105,2 dB(A), 104,0dB(A);3200;kW Nennleist. Rotor.;504162;5983577;06.08.2014;09.07.2015;in Betrieb;51006506696;0005;G10/2013/131;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Barlt;WKA 6 REpower 3.2M 114;REpower;93;114;105,2 dB(A), 105,2 dB(A);3200;kW Nennleist. Rotor.;505584;5983915;06.08.2014;28.05.2015;in Betrieb;51006506696;0006;G10/2013/132;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Barlt;WKA 6 REpower 3.2M 114;REpower;93;114;105,2 dB(A), 105,2dB(A);3200;kW Nennleist. Rotor.;505479;5984209;06.08.2014;29.06.2015;in Betrieb;51006506696;0007;G10/2013/133;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;WKA 2 REpower 3.4 M;REpower;80;104;105,6 dB(A), 100 dB(A);3400;kW Nennleist. Rotor.;505375;5975134;01.08.2014;08.10.2015;in Betrieb;51011003789;0001;G10/2013/177;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Enercon 82;Enercon;98;82;"104 dB(A)tags; 103 dB(A) nachts";2000;kW Nennleist. Rotor.;505505;5972178;20.12.2007;26.11.2010;in Betrieb;51011003790;0001;G10/2007/031;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Enercon 82;Enercon;98;82;"104dB(A) tags; 103,8dB(A) nachts ";2000;kW Nennleist. Rotor.;504611;5972535;20.12.2007;26.11.2010;in Betrieb;51011003790;0002;G10/2007/035;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Enercon 82;Enercon;98;82;"104dB(A) tags; 103,8 dB(A) nachts";2000;kW Nennleist. Rotor.;504387;5972614;20.12.2007;26.11.2010;in Betrieb;51011003790;0003;G10/2007/036;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Enercon 82;Enercon;98;82;"104dB(A) tags; 102,5dB(A) nachts";2000;kW Nennleist. Rotor.;504734;5972726;20.12.2007;26.11.2010;in Betrieb;51011003790;0004;G10/2007/041;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Enercon 82;Enercon;98;82;"104dB(A) tags; 99,5dB(A) nachts";2000;kW Nennleist. Rotor.;504779;5972960;20.12.2007;26.11.2010;in Betrieb;51011003790;0005;G10/2007/047;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Enercon 82;Enercon;98;82;"104dB(A) tags; 103,4dB(A) nachts";2000;kW Nennleist. Rotor.;505288;5972265;20.12.2007;26.11.2010;in Betrieb;51011003791;0001;G10/2007/032;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Enercon 82;Enercon;98;82;"104dB(A)tags; 103,8dB(A) nachts";2000;kW Nennleist. Rotor.;505073;5972355;20.12.2007;26.11.2010;in Betrieb;51011003792;0001;G10/2007/033;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Enercon 82;Enercon;98;82;"104dB(A) tags; 102,5dB(A) nachts";2000;kW Nennleist. Rotor.;504848;5972436;20.12.2007;26.11.2010;in Betrieb;51011003793;0001;G10/2007/034;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Enercon 82;Enercon;98;82;"104dB(A)tags; 102,5 dB(A) nachts";2000;kW Nennleist. Rotor.;505586;5972389;20.12.2007;26.11.2010;in Betrieb;51011003794;0001;G10/2007/037;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Enercon 82;Enercon;98;82;"104dB(A) tags; 102,5dB(A) nachts";2000;kW Nennleist. Rotor.;505371;5972480;20.12.2007;26.11.2010;in Betrieb;51011003795;0001;G10/2007/038;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Brunsbüttel;Enercon 82;Enercon;98;82;"104dB(A) tags; 102,5dB(A) nachts";2000;kW Nennleist. Rotor.;505159;5972565;20.12.2007;26.11.2010;in Betrieb;51011003796;0001;G10/2007/039;10.10.2023;LfU SH, Abtl. 7
